GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD47,HD02_VD47,HD01_VD91,HD02_VD91,HD01_VD116,HD02_VD116,HD01_VD122,HD02_VD122
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Europe:,Margin of Error; Europe:,Estimate; Asia:,Margin of Error; Asia:,Estimate; Africa:,Margin of Error; Africa:,Estimate; Oceania:,Margin of Error; Oceania:,Estimate; Americas:,Margin of Error; Americas:
0400000US15,15,Hawaii,240090,4686,12388,902,186985,3898,1254,268,23490,2066,15973,1204
0500000US15001,15001,"Hawaii County, Hawaii",21025,1777,1822,405,12244,1053,120,90,3796,1085,3043,733
0500000US15003,15003,"Honolulu County, Hawaii",185172,4072,7777,712,150379,3530,819,186,17308,1642,8889,737
0500000US15007,15007,"Kauai County, Hawaii",9879,880,604,172,8039,889,152,123,473,235,611,168
0500000US15009,15009,"Maui County, Hawaii",23998,1419,2177,343,16317,1134,163,120,1911,565,3430,603
610U200US15001,15001,"State Senate District 1 (2010), Hawaii",6295,942,408,182,3945,561,103,91,1174,540,665,248
610U200US15002,15002,"State Senate District 2 (2010), Hawaii",6288,1030,554,239,4518,814,11,16,625,539,580,202
610U200US15003,15003,"State Senate District 3 (2010), Hawaii",8442,1171,860,243,3781,667,6,11,1997,854,1798,665
610U200US15004,15004,"State Senate District 4 (2010), Hawaii",10471,1014,246,143,8692,959,0,89,968,419,565,218
610U200US15005,15005,"State Senate District 5 (2010), Hawaii",8820,1007,1046,235,4767,757,64,76,629,348,2314,457
610U200US15006,15006,"State Senate District 6 (2010), Hawaii",4723,741,893,255,2864,529,99,93,316,294,551,260
610U200US15007,15007,"State Senate District 7 (2010), Hawaii",9879,880,604,172,8039,889,152,123,473,235,611,168
610U200US15008,15008,"State Senate District 8 (2010), Hawaii",6720,650,656,192,5303,575,43,53,248,104,470,272
610U200US15009,15009,"State Senate District 9 (2010), Hawaii",7608,691,409,182,5998,568,8,13,912,401,281,125
610U200US15010,15010,"State Senate District 10 (2010), Hawaii",10519,1162,713,261,7732,866,10,14,1524,643,540,264
610U200US15011,15011,"State Senate District 11 (2010), Hawaii",16089,1165,844,289,13204,1137,45,44,1399,394,597,231
610U200US15012,15012,"State Senate District 12 (2010), Hawaii",21186,1307,1389,316,17532,1163,148,108,1232,467,885,226
610U200US15013,15013,"State Senate District 13 (2010), Hawaii",14436,1267,120,61,13693,1332,17,22,467,227,139,72
610U200US15014,15014,"State Senate District 14 (2010), Hawaii",14787,1274,185,122,12252,1134,5,9,2175,505,170,94
610U200US15015,15015,"State Senate District 15 (2010), Hawaii",14505,937,302,113,12022,922,69,66,1375,447,737,226
610U200US15016,15016,"State Senate District 16 (2010), Hawaii",6006,739,175,80,5044,578,88,66,433,340,266,115
610U200US15017,15017,"State Senate District 17 (2010), Hawaii",6529,603,259,127,4909,541,17,20,821,375,523,161
610U200US15018,15018,"State Senate District 18 (2010), Hawaii",15294,1149,202,103,13365,1034,28,33,1305,732,394,266
610U200US15019,15019,"State Senate District 19 (2010), Hawaii",12582,1260,325,125,10192,1208,60,63,1332,619,673,245
610U200US15020,15020,"State Senate District 20 (2010), Hawaii",14505,1360,252,125,13092,1298,94,85,713,306,354,108
610U200US15021,15021,"State Senate District 21 (2010), Hawaii",3347,554,217,109,2210,492,14,17,743,344,163,109
610U200US15022,15022,"State Senate District 22 (2010), Hawaii",8350,832,275,91,6485,736,11,18,621,276,958,310
610U200US15023,15023,"State Senate District 23 (2010), Hawaii",4370,564,354,106,2203,398,69,56,1270,250,474,162
610U200US15024,15024,"State Senate District 24 (2010), Hawaii",3821,618,443,177,2395,547,49,38,190,82,744,217
610U200US15025,15025,"State Senate District 25 (2010), Hawaii",4518,573,657,144,2748,407,44,40,548,336,521,157
620L200US15001,15001,"State House District 1 (2010), Hawaii",2760,408,188,86,2100,380,25,18,321,146,126,79
620L200US15002,15002,"State House District 2 (2010), Hawaii",2235,612,119,88,1084,251,25,36,758,518,249,118
620L200US15003,15003,"State House District 3 (2010), Hawaii",1933,273,88,68,1689,260,6,14,135,94,15,14
620L200US15004,15004,"State House District 4 (2010), Hawaii",3788,805,310,195,2777,742,5,8,218,125,478,189
620L200US15005,15005,"State House District 5 (2010), Hawaii",2406,696,290,154,1166,356,0,89,645,533,305,139
620L200US15006,15006,"State House District 6 (2010), Hawaii",4494,1028,444,192,1850,416,0,89,1194,663,1006,589
620L200US15007,15007,"State House District 7 (2010), Hawaii",3409,755,383,187,1578,458,59,78,525,467,864,406
620L200US15008,15008,"State House District 8 (2010), Hawaii",3677,611,83,52,2685,506,0,89,661,371,248,121
620L200US15009,15009,"State House District 9 (2010), Hawaii",6794,970,163,138,6007,920,0,89,307,232,317,177
620L200US15010,15010,"State House District 10 (2010), Hawaii",4636,800,497,173,2904,602,40,60,194,189,1001,450
620L200US15011,15011,"State House District 11 (2010), Hawaii",4184,821,549,160,1863,607,24,44,435,286,1313,426
620L200US15012,15012,"State House District 12 (2010), Hawaii",2387,566,492,185,1286,390,61,70,244,284,304,161
620L200US15013,15013,"State House District 13 (2010), Hawaii",2336,458,401,182,1578,387,38,58,72,85,247,194
620L200US15014,15014,"State House District 14 (2010), Hawaii",3269,548,226,113,2488,563,28,34,218,179,309,114
620L200US15015,15015,"State House District 15 (2010), Hawaii",4020,689,288,154,3371,654,33,44,145,130,183,102
620L200US15016,15016,"State House District 16 (2010), Hawaii",2590,444,90,50,2180,413,91,121,110,94,119,61
620L200US15017,15017,"State House District 17 (2010), Hawaii",3953,530,516,184,2865,442,12,14,46,34,514,260
620L200US15018,15018,"State House District 18 (2010), Hawaii",3055,366,278,111,2488,357,31,50,135,86,123,86
620L200US15019,15019,"State House District 19 (2010), Hawaii",3116,455,137,64,2786,451,0,89,88,56,105,89
620L200US15020,15020,"State House District 20 (2010), Hawaii",3828,556,207,146,2774,431,8,13,724,387,115,76
620L200US15021,15021,"State House District 21 (2010), Hawaii",6075,695,560,193,4933,631,19,29,242,113,321,148
620L200US15022,15022,"State House District 22 (2010), Hawaii",8644,898,321,207,7232,759,0,89,957,466,134,122
620L200US15023,15023,"State House District 23 (2010), Hawaii",10271,875,965,277,8142,834,71,72,483,296,610,164
620L200US15024,15024,"State House District 24 (2010), Hawaii",3504,674,421,174,2371,517,10,14,288,190,414,217
620L200US15025,15025,"State House District 25 (2010), Hawaii",7663,871,561,237,5888,776,36,42,851,459,327,137
620L200US15026,15026,"State House District 26 (2010), Hawaii",4343,753,119,70,3128,684,9,14,891,359,196,136
620L200US15027,15027,"State House District 27 (2010), Hawaii",6923,888,68,45,6667,888,17,22,122,89,49,43
620L200US15028,15028,"State House District 28 (2010), Hawaii",11557,861,213,113,10346,830,58,59,757,331,183,105
620L200US15029,15029,"State House District 29 (2010), Hawaii",11271,997,23,22,9529,1000,0,89,1664,485,55,52
620L200US15030,15030,"State House District 30 (2010), Hawaii",7087,914,112,112,6541,870,0,89,382,197,52,60
620L200US15031,15031,"State House District 31 (2010), Hawaii",7213,793,100,54,6286,782,0,89,474,317,353,149
620L200US15032,15032,"State House District 32 (2010), Hawaii",7756,883,217,100,6140,829,69,66,901,305,429,172
620L200US15033,15033,"State House District 33 (2010), Hawaii",3664,555,99,50,2888,399,52,48,483,343,142,74
620L200US15034,15034,"State House District 34 (2010), Hawaii",2791,456,97,70,2384,443,64,58,32,30,214,104
620L200US15035,15035,"State House District 35 (2010), Hawaii",9905,910,123,83,9017,844,5,12,718,577,42,70
620L200US15036,15036,"State House District 36 (2010), Hawaii",3258,533,90,71,2529,429,0,89,334,302,305,242
620L200US15037,15037,"State House District 37 (2010), Hawaii",2998,504,62,38,2464,469,7,12,228,140,237,94
620L200US15038,15038,"State House District 38 (2010), Hawaii",3912,527,201,117,3082,519,0,89,302,221,327,136
620L200US15039,15039,"State House District 39 (2010), Hawaii",4715,603,58,62,3716,608,10,16,788,393,143,92
620L200US15040,15040,"State House District 40 (2010), Hawaii",6578,906,241,116,5019,787,51,62,734,511,533,237
620L200US15041,15041,"State House District 41 (2010), Hawaii",7456,899,98,71,6348,874,0,89,888,446,122,93
620L200US15042,15042,"State House District 42 (2010), Hawaii",7569,1146,29,33,6670,1117,0,89,734,384,136,77
620L200US15043,15043,"State House District 43 (2010), Hawaii",8535,1095,223,117,7816,1088,94,85,184,104,218,85
620L200US15044,15044,"State House District 44 (2010), Hawaii",2082,480,112,82,1517,465,20,22,275,125,158,109
620L200US15045,15045,"State House District 45 (2010), Hawaii",1576,426,105,55,965,320,3,5,474,318,29,21
620L200US15046,15046,"State House District 46 (2010), Hawaii",4309,592,239,67,2580,435,11,18,652,200,827,297
620L200US15047,15047,"State House District 47 (2010), Hawaii",2351,417,218,96,1259,302,69,56,537,192,268,123
620L200US15048,15048,"State House District 48 (2010), Hawaii",1882,533,64,63,1379,468,20,24,190,87,229,137
620L200US15049,15049,"State House District 49 (2010), Hawaii",1630,313,261,106,962,232,0,89,138,102,269,124
620L200US15050,15050,"State House District 50 (2010), Hawaii",1940,375,362,156,842,200,53,43,265,235,418,168
620L200US15051,15051,"State House District 51 (2010), Hawaii",1762,372,277,110,826,224,20,25,347,245,292,120
